text,label tay,label chatgpt,label,keyword của mình,keyword của chatgpt,Reason của mình,Reason của chatgpt,từ viết tắt
"người yêu mình vẫn còn tình cảm với người cũ của anh ấy.

anh ấy nói với mình là anh đã từ bỏ rồi. nhưng khi mình xem lịch sử tìm kiếm của anh, mình thấy anh vẫn vào fb cô bạn kia thường xuyên, và thả react các tus rất đều. mặc dù người yêu mình không còn nhắn tin với người cũ của anh ấy nữa, nhưng mình vẫn cảm thấy thật sự rất buồn và hụt hẫng. giá như mình không hỏi anh ấy về người cũ của anh. giá như mình không tò mò...",0,1,0,,"buồn, hụt hẫng",,Tình yêu,"fb, tus, react"
"Xin tips giảm overthinking khi quen bạn trai ít dùng điện thoại, tham gia nhiều hoạt động ngoại khóa, có nhiều mqh bạn bè xung quanh cho người cần nhiều sự quan tâm và hướng nội như mình với các bạn ơi ☹️",1,1,1,overthinking,overthinking,Tâm lý cá nhân,Tâm lý cá nhân,"mqh, overthinking"
"Mng cho em câu trả lời với...
Em có một người bạn nữ, bạn này là người đầu tiên em gặp mà tính cách khác tất cả mng luôn ý. Bạn đó có thể sẵn sàng cho em quà cáp, nhma em cho lại thì bạn đó ko nhận ( bất kể là thứ gì ). Nhiều lúc em cảm giác như bạn đó tách mình ra, nhiều lúc cũng có cảm giác thân thuộc. Mng có ai gặp một người bạn ntn chưa ạ?",0,0,0,,,,,"nhma, Mng, ntn"
"Cuối năm mà tiêu cực quá mn ơi 😢. 
Thời điểm cuối năm đồng nghiệp bắt đầu tụ tập chơi bài, rủ đi ăn nhậu hát karaoke. Nhưng tính cách e khá hướng nội và thật sự bản thân còn những rào cản , thật sự k muốn tham gia chút nào. Cảm thấy bạn thân mình như đang tự cô lập với mọi người. Dù bình thường e với mọi người cx khá là thân thiết mà giờ lại cảm thấy k thể hoà nhập nổi. Mấy ngày nay lên cty mà stress kinh khủng ạ huhu",1,1,1,"tiêu cực, hướng nội, cô lập, stress","tiêu cực, hướng nội, cô lập, stress",Tâm lý cá nhân,Tâm lý cá nhân,"mn, k,e,cx, cty, stress"
"LÀM SAO CÓ THỂ NÓI NHIỀU ?
Từ những năm cấp 2,3 mình cũng từng cố gắng hoà nhập với mọi người nhưng chỉ thấy được sự né tránh. Mình có một ngoại hình ko ưu nhìn và luôn nghe những lời xì xào về ngoại hình của mình. Mình luôn tìm cách để nói chuyện nhưng chỉ cần mình lại một nhóm bạn để bắt chuyện thì mọi người lại né sang chỗ khác, chỗ nào có mình ngồi là không có ai gần.

Và mình đã chấp nhận điều này, mình từng chủ động nói chuyện, từng cố gắng để hoà nhập thì giờ mình chỉ im lặng và khi ngồi vào một nhóm mình sẽ ngồi né xa những bạn ngồi gần để họ ko cần phải né mình nữa.

Cứ tưởng những điều này sẽ lặp đi lặp lại cho đến khi mình lên đại học. Ngoại hình mình đã dễ nhìn 1 chút và được học đúng chuyên ngành gặp gỡ được nhiều người thì mình đã giao tiếp nhiều hơn với mọi người. Sự im lặng và né tránh của những năm học phổ thông đã tạo cho mình một thói quen, dù gặp gỡ những người thân thiện mình luôn cố gắng suy nghĩ thật kĩ để nói ra và mình luôn ngồi cách một khoảng trống với nhóm bạn vì mình ám ảnh họ sẽ né mình trước mặc dù các bạn luôn hỏi mình sao ko ngồi gần cũng mọi người.

Đến bây giờ thì mình đã không muốn phải như thế nữa. Giờ mình cũng sắp ra trường với cái tình trạng hay im lặng, giao tiếp một cách sượng trân thì sau này cuộc sống của mình sẽ ko ổn quá🥹. Mình làm vài công việc làm thêm nhưng ko cải thiện được xíu nào. 

Gần đây mình có làm thêm một chỗ, thật sự là chỗ làm tạo cho mình cảm giác an toàn và mình rất muốn hoà nhập cùng mọi người. Ai cũng dễ thương luôn hỏi han và giúp đỡ mình rất nhiều. Điều mọi người hỏi mình nhiều nhất "" sao em ko nói chuyện gì đi"" "" cứ thoải mái lên"" ""em nói chuyện đại đi ko sao đâu"" nhưng mình chỉ biết cười sượng thôi mình ko biết nói gì cho vui mà đó giờ mình nói chuyện toàn kiêng nể  ko dám nói gì quá mức. Mình rất rất mà muốn nói thật nhiều với mọi người nhưng ko biết làm sao để nói chuyện nhiều được . Mong bạn nào có thể đọc được bài viết này và cho mình xin một lời khuyên với nhé.
Cảm ơn mọi người đã đọc.",0,1,0,,"im lặng, né tránh, sự tự ti",,Tâm lý cá nhân,ko
"Nyc mình vừa công khai nym, tụi mình chia tay hơn 7 tháng rồi. 4 Tháng sau ct mình khóc rất nhiều, dao gần đây mình không khóc nữa. và cũng tự tưởng tượng trước việc họ có người mới. Nhưng đến hôm nay mình đang rất mệt vì công việc, lại vô tình lướt thấy họ công khai người mới. Thật sự mình đã vỡ òa, chỉ muốn khóc thôi. Mình đã nhiều lần block rồi mở vì sợ 1 ngày họ công khai mình sẽ biết và buồn. nhưng k ngờ nó lại xảy ra nhanh đến như vậy. Mai là sinh nhật mình, năm rồi mình quen anh nhưng sn trúng tết 2 đứa giận nhau và anh quên sn mình, khiến mình rất tủi thân. Năm nay thành nyc anh công khai người mới.
Mình cứ nghĩ rằng mình đã ổn và move on nhưng không. Giờ mình chỉ muốn khóc và khóc thật to thôi. Mình muốn tìm người tâm sự kể lể nhưng k biết tìm ai. Tệ thật, Sài Gòn đông người vậy mà!!!",0,1,0,,"chia tay, buồn bã, khóc",,Tình yêu,"Nyc, nym, ct, sn, nyc, block"
"Tớ thấy mọi người trong này bị trầm cảm rồi đấy. Tớ thấy mọi người bảo tớ có khả năng chữa lành.Nên ai muốn tâm sự, giải toả stress, muốn giải phóng hết mọi bực tức phiền muộn . Thì comment vào bài viết này. Tớ sẽ chủ động tìm đến các bạn để chữa lành. 
Vì tớ từng trải qua cửa tử rồi nên tớ hiểu rõ vấn đề mọi người gặp và cách giải quyết nó ♥️",0,0,0,,,,,"nt, cr, comment, crush"
"Mọi người cho mình xin ý kiến với. Mình và crush có nt nói chuyện qua lại cũng hơn 1 năm rồi. Mình là nữ và cr là nam nha. Bạn ấy có hẹn gặp 1 lần nhưng rồi lại huỷ kèo vì bệnh. Đợt này bạn ấy có hẹn gặp nữa nhưng mình đang phân vân. Cả 2 đứa nói nt thì mình luôn là người nhắn cuối, mình không cảm nhận được tình cảm gì từ bạn ấy. Không thấy tức là không tồn tại rồi đúng không ạ? Mình thấy cả 2 sẽ không có kết quả nên mình nghĩ gặp nhau cũng chẳng ích lợi gì, mà không gặp thì lại tiếc. Dù gì mình cũng thích bạn gần 2 năm rồi. 😢",0,0,0,,,,,
"Xin chào mn ạ. Em có 1 vấn đề mà băn khoăn từ rất lâu rồi, nay muốn hỏi xem mn ai đã từng trải qua/ chứng kiến chưa và em nên làm gì bây giờ ạ 🥲. 
Chuyện là nửa năm trở lại đây, em có mơ liên tục về 1 người bạn của em ( bạn nam) em là nữ, mơ ngày qua ngày cả trưa và tối, tuy nhiên các giấc mơ thì chưa từng trùng nhau và khi tình dậy em k nhớ rõ là mình mơ gì( cố lắm thì nhớ đc tầm 10%, và giấc mơ rất mơ hồ). 
Em và bạn ấy là bạn cùng lớp. Tuy nhiên chỉ là bạn xã giao và quen biết được tầm nửa năm. Đợt đó là vào dịp cả nhóm đi chơi với nhau và hôm ấy em và bạn ý lần đầu nói chuyện nhiều có tiếp túc thân mật với nhau hơn mọi lần. Và sau buổi đi chơi ấy về thì em bắt đầu mơ ạ. Mơ từ hôm ấy cho đến thời điểm em viết post này luôn :(( . Hơn nữa là tần suất tên bạn ấy xuất hiện ở cuộc sống xung quanh em rất nhiều( trc đây thì k như vậy). 
Từ ngày hôm đó trở đi em bị nghĩ về bạn ấy khá nhiều, nghĩ trong vô thức luôn mặc dù ở thời điểm ấy em đang thích người khác ạ. Sau buổi đi chơi đó thì mối quan hệ của em với bạn phát triển hơn, thân thiết với nhau hơn, nhiều lúc em còn tưởng bọn em đang mập mờ nữa cơ ạ. 
Cảm xúc của em đối với bạn ấy rất mơ hồ và không ổn định. Em không rõ là mình thích bạn ấy hay chỉ cảm xúc bị gây ra bởi những sự việc em kể trên nữa. Em cũng từng có ny mà trong quá trình yêu nhau em rất ít khi mơ về ny của mình mặc dù hình ảnh ny lúc nào cũng trong đầu. Đã có khoảng thời gian em thấy khá là khó chịu và muốn dừng lại mối quan hệ này và nói rõ ràng nhưng bằng 1 cách nào đó luôn bị cản trở bởi cả yếu tố ngoại cảnh và của cả 2 ạ( không dưới 2 lần) và dây dưa đến tận ngày hôm nay. Mỗi khi mà em muốn đơn phương chấm dứt mqh này thì luôn có cái gì đó về mặt cảm xúc kéo em lại mặc dù em không giải thích đc.  Xong dạo gần đây có những lúc em rất nhớ bạn ấy, nhớ phát điên ấy ạ chứ k phải nhớ bình thường, xong ngủ dậy lại hết ạ :((. 
Em đang khá là bối rối ạ, em nên làm gì trong trường hợp này ạ ( hiện tại giữa em và bạn ấy đang có rào cản nên k tiến tới đc với nhau ạ), và em trước giờ cũng chưa từng có ý định ấy 😞.",0,0,0,,,,,"đc, trc, ny, post"
"Mọi người tư vấn giúp mình với
Hiện mình đang nhắn tin trò chuyện với 1 bạn nữ khá xinh và khá chủ động, lúc nào cũng là bạn ấy video call cho mình trước, mình cũng muốn chủ động mà lúc nào cũng nghĩ người ta bận này bận kia rồi không biết gọi thì nói cái j, mình muốn nghiêm túc với bạn ấy nhưng lúc nào cũng cảm thấy khó mở lời rồi sợ nói linh tinh..
Mọi ng giúp mình với..",0,0,0,,,,,"j, ng, video call"
