text,label
"cuộc sống này như một cơn ác mộng không hồi kết. tôi cảm thấy mình bị mắc kẹt trong một vòng lặp của nỗi đau và tuyệt vọng, không thể tìm thấy lối ra. gia đình tôi luôn gây ra căng thẳng và xung đột, khiến cho tôi cảm thấy không bị ai hiểu và đón nhận. tôi đã mất đi lòng tin vào bạn thân và không biết phải làm sao để thoát ra khỏi tình trạng này.",1
"làm thế nào để bớt suy nghĩ nhiều ạ. em suy nghĩ nhiều đến phát điên luôn. nhất là những đợt rụng :dâu:. không có nhạc hay cái gì phân tán là em nghĩ nhiều tới mức tự khóc, tự cáu. như kiểu tự kỉ, trầm cảm ý ạ. bình thường em cũng nghĩ nhiều nhưng lần nào nó đến là bắt đầu nghĩ như 1 con điên vậy. em thấy mệt mỏi lắm ạ",1
"không có ước mơ, không có mục tiêu phấn đấu là cuộc sống hiện tại của mình. ngày bé mình đam mê sử lắm, mình đã nghĩ lớn lên mình sẽ làm nhà sử học. nhưng càng lớn mình càng mất dần đam mê với nó, và cuối cùng là như hiện tại, đó là không có ước mơ làm bất cứ gì. nếu như mình có ước mơ thì tốt rồi, vì dù ước mơ đấy có cao xa nhưng ít nhất mình còn có cái gì đấy để làm mục tiêu. mọi người hay nói nếu mất động lực vậy thì hãy nghĩ đến bố mẹ đi, đó sẽ mục tiêu để vươn lên thôi, mình cũng đã cố nhưng không được mọi người ạ. không phải vì nhà mình giàu có bố mẹ lo cho từ anh z, chỉ là tầm trung thôi, bố mẹ cũng kì vọng vào mình và mình cũng biết mình nên phải cố gắng. nhưng mỗi lần mình ngồi vào bàn mình lại cảm thấy chán, mỗi ngày đi học đều thấy nản, sống như để cho qua ngày vậy, mờ mịt về tương lai phía trước. lớp 12 rồi không định hướng được gì cả.",0
"cuộc sống của tôi đang trở nên một cơn ác mộng không lối thoát. xã hội đang tạo ra những áp lực không thể chịu đựng, đẩy tôi vào một trạng thái lo sợ và hoang mang. tình yêu, một nguồn động viên và hy vọng, lại trở thành một bức tường không thể vượt qua, học kỳ mà mối quan hệ của tôi đang phai nhạt và mất đi sự lãng mạn. tôi cảm thấy mình đang mắc kẹt trong một cuộc sống không mục tiêu và không hy vọng.",1
"xin chào mọi người. mình là tân sinh viên năm nhất. trước đây mình từng có suy nghĩ muốn lên hà nội để thoát khỏi blgđ, mình đã học tập rất nhiều và cố gắng để đậu 1 trường dưới hn. nhưng hôm nay học kỳ về quê mình có chứng kiến việc mẹ mình bị bố mình bạo lực gia đình và chửi mắng mẹ mình về việc chi phí học đại học của mình. mình rất thương mẹ mình, giờ đây mình chỉ muốn nghỉ học để về bảo vệ cho mẹ mình thôi, mình không nghĩ học kỳ mình đi học xa người bị bạo lực gia đình lại rơi vào mẹ mình trước đây là chị mình nhưng học kỳ chị đi lấy chồng xa thì cái việc đó lại tiếp diễn sang mình và bao giờ là mẹ mình mình rất mệt mỏi :mặt khóc to: nhưng hiện tại mình không đủ tài chính và sức mạnh để bảo vệ mẹ mình mình phải làm sao đây ạ",1
"em chào mọi người ạ em 2k6 và là học sinh cuối cấp, em đã rất áp lực và khóc 2 ngày vì bị fail bài kiểm tra 15 phút môn lí được 6,5đ, em đã ôn rất nhiều nhưng mà vào làm không được, trên lớp cô không dạy những công thức dạng bài đó nhưng cô lại cho làm bài test như vậy, em vừa buồn vừa tức em đã khóc từ hôm đó đến h, em xét học bạ khối anh nên điểm toán lí hoá rất quan trọng với em vì thế em đã rất buồn vì điều đó, em cũng sợ rớt tốt nghiệp nữa. em đã cố gắng rất nhiều mà điểm lại không như em mong muốn. thêm việc lịch học lớp 12 rất ngộp em cảm thấy rất mệt, em phải làm sao ạ. có lúc em suy nghĩ em muốn từ bỏ nhưng mà em vẫn muốn cố gắng. anh chị đi trước có thể cho em lời khuyên không ạ. em cảm ơn rất nhiều ạ",1
"chuyện 4 ngày trước, giờ mới kể. năm nay là năm mình lên 18t, bình thường người khác sẽ cảm thấy sinh nhật 18 tuổi sẽ khá đặc biệt và quan trọng. nhưng riêng mình thì không, mình muốn được bình yên hơn. tuy nhiên cũng không có nghĩa là mình không trông mong vào những lời chúc, do không set thông báo về ngày sinh nhật nên mình thực sự muốn xem những ai còn nhớ đến sinh nhật mình thực ra mình chỉ trông chờ vào 1 người. và vào 4 ngày trước, ngay cả ba mẹ cũng không nhớ ngày đó là sinh nhật mình nên không có lời chúc nào, bạn cùng lớp, chị mình và 2 người bạn online là 4 người duy nhất mình nhận được lời chúc, còn người mình trông chờ nhất thì lại không quan tâm mặc dù nhớ hoặc có thể là không, sau học kỳ nhắn tin nhắc khéo vui vui thì bạn cũng không cre luôn. dù sinh nhật bạn đó mình luôn tặng quà kèm những lời chúc trong mỗi năm, có năm mình còn canh giờ để chúc nữa cơ, vì mình đã quen bạn này trên mạng suốt 4 năm và đã vài lần cùng nhau đi fes và cùng hóa trang nên mình khá quý như em gái mình. vậy mà sau ngày đó mình cảm thấy khá buồn kèm 1 chút thất vọng. dạo gần đây nhắn tin cũng toàn đã xem chứ không trả lời nữa, chỉ nhắn tin học kỳ cần mình giúp đỡ hay muốn xả căng thẳng thôi. không biết là do mình nhạy cảm, suy nghĩ quá nhiều hay là do bạn đó không thực sự trân trọng mình dù gì cũng đã quen tận 4 năm cơ mà...",0
"xin chào mọi người. mình muốn tâm sự chút về bạn thân. trước đây mình có làm việc 2 năm tại cơ sở cũ của 1 công ty. ở đó mình cứ càng làm càng đi xuống, nghĩa là giai đoạn đầu mới tìm hiểu làm quen công việc thì mình còn hứng thú nhưng học kỳ càng làm càng thấy kém năng suất đi, đặc biệt là học kỳ được giao cho tự phụ trách 1 phần việc nào đó. sau đó tình trạng trượt dốc đó mãi không khá lên được làm mình muốn nghỉ việc. lúc sắp định nghỉ việc thì mình được nhận thông báo chuyển đến cơ sở mới để hỗ trợ setup cửa hàng và giúp đỡ đào tạo nhân viên mới. và ở chỗ mới này mình như tìm lại được năng lượng ban đầu, làm việc hăng say thậm chí là trong 1 năm này mình tăng 2 cấp bậc hơn hẳn 2 năm trước đó ở cơ sở cũ luôn dậm chân tại chỗ. điểm khác biệt ở cơ sở mới này là mình cảm thấy mình giúp đỡ được mọi người chính là bất cứ công việc nào mình thấy có thể hỗ trợ, giúp đỡ đóng góp được thì mình rất chủ động muốn làm nhưng nếu để phần việc đó mình tự chủ trương, lên kế hoạch và đứng ra phụ trách thì mình rất sợ và dễ nản vì mình không nghĩ sẽ làm được kết quả tốt. bây giờ đây, cơ sở này cũng dần ổn định và công việc của mình lại bắt đầu cái vòng lặp tiêu cực dần đều :khuôn mặt thất vọng: mình không biết vấn đề của mình ở đâu và làm sao để thoát ra được",1
"nỗi đau từ sự xâm hại tình dục vẫn còn vương vấn trong tâm hồn, khiến tôi cảm thấy như mình bị mất đi sự trọn vẹn của bạn thân. mỗi ngày, hình anh đau buồn đều quay về, khiến tôi không dám tin vào bất kỳ ai.",1
"chào mọi người,em là nữ,năm nay lên lớp 10 hôm qua thì mẹ em cho em 3tr5 tiền đóng tiền học, em chắc chắn là mình đã nhét vào trong cặp,nhưng đến lúc lên nạp tiền thì em không thấy 3tr5 đó ở đâu,lúc đó em như phát hoảng lên,3tr5 là 1 số tiền lớn đối với em,gia đình em không được khá giả,anh em thì năm nay mới lên đại học.đầu năm mẹ em đã dùng rất nhiều tiền cho 2 anh em,mẹ em vất vả làm lụng mới có tiền cho em đóng tiền học,ấy vậy mà giờ em lại làm mất.em xót mẹ em lắm,giá như em cẩn thận hơn,giá như không làm mất số tiền đó,giờ em phải làm sao đây, em vẫn chưa dám nói với mẹ..",0
